Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-12-01","2,209","18,833","7.72","63","715","322","31","39","1,284"
"2021-12-02","2,734","32,805","16.17","168","629","199","47","156","1,837"
"2021-12-03","2,608","26,592","12.03","69","592","279","67","111","1,754"
"2021-12-04","2,803","29,284","11.7","90","561","392","78","92","2,018"
"2021-12-05","2,130","15,861","6.61","50","626","323","23","34","1,210"
"2021-12-06","2,446","24,507","10.19","76","646","325","55","71","1,589"
"2021-12-07","2,189","15,920","6.95","43","684","219","50","61","1,196"
"2021-12-08","2,468","22,585","9.47","56","326","288","45","86","1,543"
"2021-12-09","2,379","23,912","9.68","64","623","281","68","63","1,447"
"2021-12-10","2,765","34,852","15.83","134","642","187","85","147","1,890"
"2021-12-11","2,203","21,157","8.8","86","739","232","50","75","1,276"
"2021-12-12","2,206","22,723","9.22","72","629","205","39","101","1,260"
"2021-12-13","2,223","22,906","9.79","55","805","169","54","92","1,253"
"2021-12-14","2,269","23,868","11.83","97","653","216","19","89","1,309"
"2021-12-15","2,178","20,975","9.87","76","800","196","22","87","1,206"
"2021-12-16","1,496","5,916","2.35","30","856","95","8","15","384"
"2021-12-17","2,012","17,836","7.75","50","860","113","32","99","967"
"2021-12-18","2,028","12,020","4.89","36","502","203","25","49","1,029"
"2021-12-19","1,898","10,949","4.49","15","1,155","238","13","34","899"
"2021-12-20","1,701","10,263","4.29","4","900","90","39","28","629"
"2021-12-21","1,742","10,022","4.05","4","693","86","28","44","670"
"2021-12-22","1,653","10,225","4","2","1,293","51","85","11","575"
"2021-12-23","1,689","11,028","4.39","0","792","53","99","13","625"
"2021-12-24","1,726","10,667","4.23","5","1,281","82","21","56","659"
"2021-12-25","1,706","11,023","5.8","6","695","81","13","57","619"
"2021-12-26","2,204","21,304","10.67","79","1,183","128","21","108","1,201"
"2021-12-27","2,065","16,785","6.77","56","658","242","22","61","1,101"
"2021-12-28","1,956","17,759","7.04","9","603","138","55","71","965"
"2021-12-29","2,222","19,417","10.01","36","580","235","10","55","1,161"
"2021-12-30","2,590","30,168","14.24","157","1,106","124","43","167","1,653"
"2021-12-31","1,633","10,027","3.94","1","1,296","67","36","41","545"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2021-12-28 10:08PM","2021-12-29 7:28AM","463","97","37","560","109","259","95"
"2021-12-27 11:38PM","2021-12-28 9:11AM","497","76","50","573","78","282","137"
"2021-12-26 10:44PM","2021-12-27 6:21AM","391","66","34","457","82","200","109"
"2021-12-25 6:32PM","2021-12-25 8:00PM","85","3","0","88","N/A","N/A","N/A"
"2021-12-25 12:10AM","2021-12-25 8:36AM","435","71","36","506","95","244","96"
"2021-12-23 12:42AM","2021-12-23 8:46AM","422","61","35","483","91","234","97"
"2021-12-20 10:28PM","2021-12-21 8:17AM","520","69","45","589","136","272","112"
"2021-12-20 12:46AM","2021-12-20 7:10AM","341","42","31","383","83","184","74"
"2021-12-18 2:46AM","2021-12-18 10:46AM","416","64","43","480","75","269","72"
"2021-12-17 9:55PM","2021-12-18 12:56AM","151","30","7","181","11","120","20"
"2021-12-17 12:49AM","2021-12-17 6:25AM","276","60","24","336","56","167","53"
"2021-12-15 11:45PM","2021-12-16 7:31AM","378","88","32","466","35","253","90"
"2021-12-15 12:46AM","2021-12-15 6:22AM","296","39","27","335","55","173","68"
"2021-12-13 11:59PM","2021-12-14 7:42AM","397","66","34","463","49","254","94"
"2021-12-13 2:03AM","2021-12-13 7:23AM","281","39","23","320","46","160","75"
"2021-12-11 10:39PM","2021-12-12 6:25AM","406","60","31","466","136","179","91"
"2021-12-11 1:18AM","2021-12-11 7:02AM","298","46","26","344","94","115","89"
"2021-12-10 2:02AM","2021-12-10 8:21AM","348","31","22","379","112","163","73"
"2021-12-09 12:30AM","2021-12-09 7:15AM","362","43","27","405","103","194","65"
"2021-12-07 9:27PM","2021-12-08 9:03AM","589","106","36","695","96","380","113"
"2021-12-06 11:56PM","2021-12-07 7:02AM","342","84","20","426","48","207","87"
"2021-12-06 1:28AM","2021-12-06 7:11AM","309","34","28","343","83","153","73"
"2021-12-05 12:25AM","2021-12-05 7:39AM","359","75","34","434","102","159","98"
"2021-12-04 3:25AM","2021-12-04 8:42AM","281","36","19","317","89","131","61"
"2021-12-03 1:38AM","2021-12-03 8:10AM","345","46","25","391","104","183","58"
"2021-12-02 12:25AM","2021-12-02 7:14AM","367","42","29","409","80","212","75"
"2021-12-01 2:05AM","2021-12-01 7:38AM","303","30","24","333","87","137","79"

