Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-11-01","2,118","17,248","7.08","61","545","182","55","72","1,153"
"2021-11-02","2,166","19,977","8.09","67","718","142","86","77","1,199"
"2021-11-03","2,642","29,594","12.59","103","502","307","73","90","1,807"
"2021-11-04","2,403","22,670","10.62","86","683","232","44","86","1,461"
"2021-11-05","2,505","26,893","11.02","84","603","258","86","81","1,622"
"2021-11-06","1,999","12,785","5.23","44","758","317","9","19","1,048"
"2021-11-07","2,130","17,452","7.95","50","729","222","28","39","1,090"
"2021-11-08","2,659","28,932","14.02","84","597","283","29","107","1,767"
"2021-11-09","2,270","22,205","9.82","72","708","252","50","55","1,339"
"2021-11-10","2,001","16,252","6.92","53","831","247","20","48","1,039"
"2021-11-11","2,729","32,080","15.8","148","600","184","47","169","1,822"
"2021-11-12","3,029","35,030","16.99","127","550","337","65","126","2,222"
"2021-11-13","2,398","19,719","8.07","44","458","392","30","49","1,558"
"2021-11-14","2,327","19,869","7.93","44","588","396","36","23","1,470"
"2021-11-15","2,098","16,185","6.62","66","779","208","53","51","1,122"
"2021-11-16","2,351","25,500","11.06","87","730","264","41","94","1,453"
"2021-11-17","2,370","19,047","7.7","52","601","311","69","51","1,492"
"2021-11-18","2,173","20,298","9.11","73","821","198","42","82","1,195"
"2021-11-19","2,796","28,105","13.29","99","618","330","57","96","1,965"
"2021-11-20","2,418","27,611","13.63","88","618","189","41","113","1,480"
"2021-11-21","2,391","24,984","12.23","47","721","242","23","96","1,462"
"2021-11-22","2,501","21,936","9.34","73","549","210","74","125","1,599"
"2021-11-23","2,109","17,926","7.19","56","731","252","65","29","1,176"
"2021-11-24","2,177","19,034","7.91","72","746","216","62","68","1,227"
"2021-11-25","1,883","14,411","8.09","48","550","56","6","74","778"
"2021-11-26","2,821","31,454","14.64","99","525","355","54","118","2,021"
"2021-11-27","2,447","27,634","13.29","61","798","218","33","105","1,522"
"2021-11-28","2,240","18,619","7.5","47","539","375","19","23","1,337"
"2021-11-29","2,305","20,115","8.13","67","587","264","74","63","1,397"
"2021-11-30","2,411","23,711","9.79","83","655","249","93","81","1,517"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2021-11-30 1:03AM","2021-11-30 7:05AM","308","54","20","362","58","195","55"
"2021-11-28 11:44PM","2021-11-29 7:16AM","397","55","40","452","102","186","109"
"2021-11-27 11:38PM","2021-11-28 7:42AM","435","49","36","484","109","250","76"
"2021-11-27 4:06AM","2021-11-27 8:52AM","258","28","15","286","53","163","42"
"2021-11-26 3:15AM","2021-11-26 9:43AM","338","50","29","388","69","190","79"
"2021-11-25 2:43PM","2021-11-25 5:31PM","163","5","0","168","N/A","N/A","N/A"
"2021-11-24 9:27PM","2021-11-25 7:13AM","496","90","44","586","126","264","106"
"2021-11-24 1:44AM","2021-11-24 7:32AM","304","44","25","348","61","209","34"
"2021-11-23 12:10AM","2021-11-23 6:14AM","311","52","38","363","73","177","61"
"2021-11-21 11:19PM","2021-11-22 7:21AM","426","56","39","482","84","232","110"
"2021-11-21 1:22AM","2021-11-21 7:21AM","317","41","32","358","91","159","67"
"2021-11-19 11:17PM","2021-11-20 7:16AM","409","70","35","479","95","242","72"
"2021-11-19 2:16AM","2021-11-19 7:55AM","309","30","21","339","85","144","80"
"2021-11-18 2:29AM","2021-11-18 7:26AM","264","33","25","297","70","130","64"
"2021-11-17 12:05AM","2021-11-17 6:53AM","365","43","34","408","98","196","71"
"2021-11-16 2:03AM","2021-11-16 7:15AM","276","35","21","311","57","177","42"
"2021-11-15 1:36AM","2021-11-15 7:25AM","312","37","33","349","77","151","84"
"2021-11-14 12:54AM","2021-11-14 7:32AM","338","59","28","397","83","191","64"
"2021-11-13 12:43AM","2021-11-13 9:15AM","430","81","48","511","103","232","95"
"2021-11-12 1:26AM","2021-11-12 7:29AM","321","41","28","362","55","200","66"
"2021-11-11 12:05AM","2021-11-11 7:26AM","389","51","35","440","84","220","85"
"2021-11-10 1:44AM","2021-11-10 6:38AM","263","31","28","294","86","120","57"
"2021-11-09 9:05PM","2021-11-09 10:49PM","94","10","1","104","N/A","N/A","N/A"
"2021-11-09 2:14AM","2021-11-09 6:46AM","229","42","17","271","46","116","67"
"2021-11-07 11:44PM","2021-11-08 6:49AM","356","68","28","424","53","220","83"
"2021-11-06 11:16PM","2021-11-07 6:18AM","395","27","16","422","111","204","80"
"2021-11-06 1:54AM","2021-11-06 7:31AM","297","40","22","337","92","134","71"
"2021-11-05 1:04AM","2021-11-05 7:56AM","362","50","34","412","76","203","83"
"2021-11-04 12:57AM","2021-11-04 7:32AM","349","46","23","395","81","193","75"
"2021-11-02 11:32PM","2021-11-03 7:20AM","388","80","34","468","62","251","75"
"2021-11-02 12:26AM","2021-11-02 7:23AM","363","54","26","417","87","174","102"
"2021-10-31 10:27PM","2021-11-01 8:13AM","532","54","46","586","141","289","102"

