Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-09-01","1,941","13,510","5.8","32","701","160","43","49","904"
"2021-09-02","2,324","19,846","8.53","65","763","166","71","100","1,352"
"2021-09-03","2,514","24,086","11.68","87","822","221","55","84","1,510"
"2021-09-04","2,362","23,723","9.46","52","793","282","71","66","1,463"
"2021-09-05","2,158","18,153","7.58","52","747","227","55","57","1,198"
"2021-09-06","2,009","15,718","6.39","49","853","221","34","43","1,020"
"2021-09-07","2,441","22,037","9.38","75","703","211","46","117","1,503"
"2021-09-08","2,146","18,119","7.35","48","797","152","61","73","1,143"
"2021-09-09","2,427","22,182","9.18","67","718","240","84","83","1,523"
"2021-09-10","2,360","24,447","11.21","78","751","239","42","86","1,428"
"2021-09-11","2,468","24,641","12.57","102","1,112","194","27","107","1,492"
"2021-09-12","2,486","26,548","13.34","90","751","228","16","110","1,528"
"2021-09-13","2,444","20,173","8.26","61","820","205","55","112","1,473"
"2021-09-14","2,136","20,626","8.25","61","732","162","65","69","1,128"
"2021-09-15","2,131","18,253","7.45","38","693","205","47","56","1,120"
"2021-09-16","2,097","19,812","8.91","63","869","152","46","86","1,086"
"2021-09-17","2,915","35,168","16.94","119","682","239","85","135","2,032"
"2021-09-18","2,810","31,323","12.98","107","849","459","56","76","2,050"
"2021-09-19","2,181","20,712","8.74","62","689","215","57","71","1,227"
"2021-09-20","2,651","31,120","15.36","114","729","215","44","140","1,737"
"2021-09-21","2,039","19,291","7.89","63","812","158","59","59","1,037"
"2021-09-22","2,484","22,489","10.39","70","718","178","78","96","1,517"
"2021-09-23","2,747","30,746","13.11","84","575","274","100","110","1,898"
"2021-09-24","2,431","23,615","10.18","79","713","271","72","73","1,532"
"2021-09-25","2,632","28,886","14.31","117","641","258","34","118","1,729"
"2021-09-26","2,741","32,777","16.56","135","678","189","42","157","1,822"
"2021-09-27","2,454","25,536","10.38","95","625","258","74","78","1,561"
"2021-09-28","2,455","25,740","11.67","89","755","204","53","107","1,506"
"2021-09-29","2,462","28,591","11.43","79","750","239","91","83","1,567"
"2021-09-30","2,002","16,848","7.03","45","778","195","32","41","982"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2021-09-29 11:45PM","2021-09-30 6:19AM","346","48","27","394","78","205","63"
"2021-09-29 1:29AM","2021-09-29 6:07AM","247","30","11","277","28","175","44"
"2021-09-28 1:26AM","2021-09-28 6:48AM","269","52","23","321","34","141","94"
"2021-09-26 11:51PM","2021-09-27 6:36AM","352","53","35","405","69","186","97"
"2021-09-26 12:18AM","2021-09-26 6:32AM","313","61","21","374","43","216","54"
"2021-09-25 1:53AM","2021-09-25 8:22AM","337","52","23","389","55","205","77"
"2021-09-24 1:56AM","2021-09-24 7:08AM","271","40","28","311","46","154","71"
"2021-09-23 12:00AM","2021-09-23 6:21AM","322","59","35","381","76","188","58"
"2021-09-21 11:46PM","2021-09-22 5:56AM","341","29","26","370","60","222","59"
"2021-09-21 12:45AM","2021-09-21 6:38AM","311","41","20","352","46","198","67"
"2021-09-20 1:36AM","2021-09-20 6:49AM","271","41","26","312","69","155","47"
"2021-09-19 12:38AM","2021-09-19 7:27AM","373","35","22","408","97","188","88"
"2021-09-17 3:49AM","2021-09-17 8:48AM","263","36","14","299","41","160","62"
"2021-09-16 1:25AM","2021-09-16 6:13AM","246","41","18","287","46","139","61"
"2021-09-14 11:27PM","2021-09-15 6:46AM","392","47","30","439","64","263","65"
"2021-09-13 11:55PM","2021-09-14 6:47AM","343","69","35","412","57","190","96"
"2021-09-13 2:48AM","2021-09-13 6:56AM","213","35","24","248","9","169","35"
"2021-09-12 1:25AM","2021-09-12 7:01AM","268","67","24","335","7","208","53"
"2021-09-10 1:41AM","2021-09-10 7:03AM","288","34","21","322","41","187","60"
"2021-09-09 12:47AM","2021-09-09 6:02AM","276","39","21","315","40","146","90"
"2021-09-08 1:03AM","2021-09-08 7:00AM","317","40","22","357","54","179","84"
"2021-09-07 12:40AM","2021-09-07 6:43AM","318","45","28","363","35","201","82"
"2021-09-06 2:50AM","2021-09-06 7:39AM","243","46","15","289","13","184","46"
"2021-09-05 2:01AM","2021-09-05 7:55AM","324","30","24","354","46","214","64"
"2021-09-04 2:55AM","2021-09-04 6:44AM","196","32","14","228","18","144","34"
"2021-09-03 2:20AM","2021-09-03 6:38AM","244","14","0","258","N/A","N/A","N/A"
"2021-09-01 11:47PM","2021-09-02 5:27AM","281","59","21","340","19","200","62"
"2021-08-31 11:00PM","2021-09-01 7:07AM","419","68","39","487","52","262","105"

