Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-08-01","1,764","15,266","8.56","10","1,320","35","12","73","664"
"2021-08-02","1,976","11,296","4.51","16","1,162","168","65","45","984"
"2021-08-03","2,150","15,519","7.42","23","753","171","51","59","1,160"
"2021-08-04","1,930","14,852","7.92","10","849","112","12","61","864"
"2021-08-05","1,947","11,104","4.68","13","800","110","43","66","910"
"2021-08-06","1,887","7,704","3.07","16","802","220","35","17","868"
"2021-08-07","2,433","25,463","12.23","33","645","248","70","74","1,531"
"2021-08-08","1,801","13,639","5.37","6","1,238","112","62","28","746"
"2021-08-09","1,992","12,423","4.93","11","807","133","69","50","973"
"2021-08-10","1,778","13,071","6.47","9","929","78","32","45","688"
"2021-08-11","1,756","11,632","5.76","9","864","108","29","35","680"
"2021-08-12","2,041","11,249","4.55","10","804","149","53","60","1,034"
"2021-08-13","1,661","8,651","3.42","5","1,244","169","27","0","599"
"2021-08-14","1,719","12,284","4.89","5","900","97","84","0","658"
"2021-08-15","2,104","14,534","5.57","5","839","88","98","46","960"
"2021-08-16","1,353","3,050","1.14","3","1,383","34","16","7","190"
"2021-08-17","1,942","14,000","7.03","20","831","138","17","50","879"
"2021-08-18","1,486","5,422","2.16","9","1,327","101","12","0","363"
"2021-08-19","1,835","7,948","3.16","10","878","50","51","67","769"
"2021-08-20","1,393","3,169","1.27","0","997","98","0","0","264"
"2021-08-21","2,291","21,766","8.52","33","853","353","50","26","1,416"
"2021-08-22","1,694","9,044","4.86","43","877","45","10","58","584"
"2021-08-23","2,434","16,613","6.66","50","642","360","61","44","1,518"
"2021-08-24","3,118","36,890","15.92","132","471","303","129","130","2,332"
"2021-08-25","2,355","17,941","7.17","49","1,047","229","91","73","1,457"
"2021-08-26","2,360","18,376","7.58","51","674","215","57","88","1,410"
"2021-08-27","2,384","21,121","8.51","58","629","268","68","81","1,490"
"2021-08-28","1,947","11,755","4.68","38","992","215","36","32","943"
"2021-08-29","2,491","23,098","12.03","91","626","170","23","115","1,493"
"2021-08-30","1,986","14,529","5.91","35","875","222","26","44","978"
"2021-08-31","2,462","21,867","9.28","84","693","179","54","119","1,499"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2021-08-31 12:10AM","2021-08-31 6:46AM","333","62","24","395","9","253","71"
"2021-08-30 2:10AM","2021-08-30 6:43AM","244","29","21","273","62","123","59"
"2021-08-28 11:49PM","2021-08-29 8:15AM","433","73","36","506","13","354","66"
"2021-08-28 4:31AM","2021-08-28 7:16AM","159","6","0","165","N/A","N/A","N/A"
"2021-08-27 12:01AM","2021-08-27 6:35AM","316","78","30","394","33","182","101"
"2021-08-25 11:41PM","2021-08-26 6:27AM","328","78","29","406","48","235","45"
"2021-08-23 11:46PM","2021-08-24 6:34AM","353","54","16","407","73","174","106"
"2021-08-23 12:27AM","2021-08-23 6:00AM","287","46","19","333","76","131","80"
"2021-08-22 12:19AM","2021-08-22 7:49AM","401","49","33","450","88","229","84"
"2021-08-21 1:07AM","2021-08-21 3:45AM","155","3","0","158","N/A","N/A","N/A"
"2021-08-19 10:43PM","2021-08-20 4:28AM","296","49","21","345","55","186","55"
"2021-08-18 11:15PM","2021-08-19 5:49AM","349","45","22","394","56","232","61"
"2021-08-16 10:18PM","2021-08-17 5:02AM","332","72","30","404","35","210","87"
"2021-08-14 11:39PM","2021-08-15 5:48AM","308","61","24","369","30","202","76"
"2021-08-13 11:25PM","2021-08-14 5:24AM","304","55","28","359","87","139","78"
"2021-08-11 11:28PM","2021-08-12 5:43AM","330","44","30","374","64","213","53"
"2021-08-10 11:12PM","2021-08-11 5:56AM","365","39","29","404","51","234","80"
"2021-08-10 12:40AM","2021-08-10 6:36AM","310","46","21","356","71","188","51"
"2021-08-08 11:36PM","2021-08-09 5:57AM","329","52","29","381","52","234","43"
"2021-08-06 11:08PM","2021-08-07 5:51AM","352","51","29","403","86","201","65"
"2021-08-05 11:49PM","2021-08-06 5:55AM","327","39","29","366","88","166","73"
"2021-08-04 11:24PM","2021-08-05 6:26AM","379","42","29","421","117","186","76"
"2021-08-03 11:12PM","2021-08-04 5:58AM","360","46","28","406","107","179","74"
"2021-08-02 11:35PM","2021-08-03 6:21AM","356","50","24","406","68","194","94"

