Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-07-01","2,157","23,831","11.6","2","1,247","16","11","166","1,119"
"2021-07-02","2,072","21,425","10.37","20","1,235","36","62","107","1,038"
"2021-07-03","2,179","23,076","10.39","21","1,197","60","48","135","1,178"
"2021-07-04","2,114","20,102","8.71","5","1,228","30","45","137","1,085"
"2021-07-05","2,327","19,090","7.66","8","1,162","46","89","143","1,355"
"2021-07-06","2,285","25,032","11.97","14","1,186","63","25","166","1,284"
"2021-07-07","2,158","25,301","13.24","34","1,223","39","49","129","1,136"
"2021-07-08","2,053","24,681","13.34","31","1,252","31","19","138","1,008"
"2021-07-09","2,111","23,476","13.05","33","1,260","32","10","138","1,057"
"2021-07-10","1,969","22,464","11.61","30","1,274","17","14","135","907"
"2021-07-11","2,087","21,845","11.84","30","1,284","14","3","139","1,018"
"2021-07-12","1,983","18,705","10","0","1,305","8","10","117","898"
"2021-07-13","1,798","14,325","6.65","10","1,286","57","11","86","722"
"2021-07-14","1,734","14,910","8.98","33","1,346","7","5","82","614"
"2021-07-15","1,951","13,316","5.74","21","1,150","249","7","34","966"
"2021-07-16","2,300","18,808","8.77","24","1,092","232","25","91","1,351"
"2021-07-17","1,924","16,616","8.31","15","1,257","80","29","74","868"
"2021-07-18","1,897","15,385","8.57","14","881","102","2","70","829"
"2021-07-19","1,923","16,587","8.88","10","748","153","0","69","893"
"2021-07-20","1,999","15,390","8.1","14","875","131","25","60","967"
"2021-07-21","1,832","14,703","8.26","23","896","49","14","74","737"
"2021-07-22","1,700","9,059","3.58","12","876","174","27","13","659"
"2021-07-23","2,005","17,736","8.65","18","752","196","17","64","1,008"
"2021-07-24","1,873","10,181","4.13","16","711","327","10","10","932"
"2021-07-25","1,996","17,192","9.17","15","760","77","40","67","926"
"2021-07-26","1,667","5,446","2.38","10","918","121","25","21","596"
"2021-07-27","2,004","16,958","9.49","11","819","64","7","95","932"
"2021-07-28","2,067","17,646","9.42","20","782","110","18","89","1,012"
"2021-07-29","2,063","12,340","5.05","19","655","308","30","18","1,130"
"2021-07-30","2,108","13,400","5.72","23","714","195","40","58","1,117"
"2021-07-31","2,202","15,241","6.21","17","641","336","23","39","1,317"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2021-07-30 11:41PM","2021-07-31 6:22AM","346","55","31","401","75","215","56"
"2021-07-29 10:56PM","2021-07-30 6:10AM","376","57","32","433","67","266","43"
"2021-07-28 10:51PM","2021-07-29 6:01AM","374","55","25","429","73","225","76"
"2021-07-27 10:38PM","2021-07-28 6:00AM","380","61","26","441","75","237","68"
"2021-07-26 10:35PM","2021-07-27 6:10AM","381","74","35","455","71","232","78"
"2021-07-26 12:13AM","2021-07-26 6:08AM","319","36","33","355","99","148","72"
"2021-07-24 10:26PM","2021-07-25 6:42AM","411","85","42","496","53","297","61"
"2021-07-23 11:39PM","2021-07-24 6:01AM","324","58","26","382","57","183","84"
"2021-07-22 11:13PM","2021-07-23 6:05AM","361","50","29","411","92","244","25"
"2021-07-21 11:54PM","2021-07-22 5:45AM","297","53","27","350","14","269","14"
"2021-07-20 11:28PM","2021-07-21 6:16AM","350","57","31","407","33","267","50"
"2021-07-20 12:02AM","2021-07-20 5:52AM","309","40","31","349","9","237","63"
"2021-07-18 10:59PM","2021-07-19 6:49AM","408","62","32","470","79","265","64"
"2021-07-17 11:44PM","2021-07-18 6:09AM","327","58","22","385","111","144","72"

