Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2022-02-01","2,102","17,677","7.68","72","1,135","205","35","65","1,140"
"2022-02-02","1,677","9,267","3.69","50","1,259","142","10","29","609"
"2022-02-03","2,120","14,295","6.79","37","708","185","19","79","1,127"
"2022-02-04","2,194","13,999","5.59","45","1,099","218","57","66","1,244"
"2022-02-05","2,203","19,270","7.68","68","1,089","238","59","54","1,262"
"2022-02-06","2,403","20,439","8.26","72","539","383","27","61","1,559"
"2022-02-07","2,465","21,032","9.08","80","623","281","78","58","1,578"
"2022-02-08","2,302","21,127","9.22","93","743","244","41","75","1,361"
"2022-02-09","2,170","18,620","8","100","720","211","40","65","1,209"
"2022-02-10","2,040","15,380","6.36","80","698","275","13","30","1,068"
"2022-02-11","2,122","14,695","6.17","63","713","302","15","49","1,189"
"2022-02-12","1,813","11,681","4.67","46","758","183","15","41","786"
"2022-02-13","1,949","13,958","5.89","64","742","241","20","41","966"
"2022-02-14","2,354","22,506","10.42","144","647","206","39","110","1,406"
"2022-02-15","2,282","20,940","9.43","100","757","220","32","90","1,341"
"2022-02-16","2,295","20,957","9.29","107","724","211","48","91","1,345"
"2022-02-17","2,146","15,264","6.42","100","698","321","10","29","1,184"
"2022-02-18","2,075","15,647","6.53","94","660","174","43","63","1,075"
"2022-02-19","2,204","17,141","7.03","86","697","276","19","52","1,253"
"2022-02-20","2,109","18,340","7.62","161","745","204","47","62","1,146"
"2022-02-21","2,190","18,491","7.89","99","778","217","42","61","1,221"
"2022-02-22","2,795","29,892","14.49","144","464","247","56","129","1,909"
"2022-02-23","2,804","30,860","13.32","158","583","320","59","126","1,998"
"2022-02-24","2,439","24,228","10.66","129","563","297","29","103","1,570"
"2022-02-25","2,148","16,695","6.97","81","655","253","22","66","1,189"
"2022-02-26","2,050","15,292","6.32","77","705","240","8","35","937"
"2022-02-27","2,315","24,973","11.17","63","654","239","37","89","1,400"
"2022-02-28","2,570","28,706","13.28","70","598","313","39","93","1,703"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2022-02-28 2:59AM","2022-02-28 9:36AM","355","42","34","397","37","263","55"
"2022-02-27 1:41AM","2022-02-27 8:43AM","360","61","30","421","90","202","68"
"2022-02-26 1:43AM","2022-02-26 9:15AM","386","66","28","452","111","191","84"
"2022-02-25 12:01AM","2022-02-25 7:25AM","387","57","25","444","99","218","70"
"2022-02-24 12:17AM","2022-02-24 7:45AM","393","55","31","448","109","214","70"
"2022-02-23 2:27AM","2022-02-23 8:19AM","302","50","30","352","100","112","90"
"2022-02-21 10:09PM","2022-02-22 7:14AM","466","78","36","544","92","298","76"
"2022-02-21 12:48AM","2022-02-21 6:30AM","288","54","14","342","53","169","66"
"2022-02-20 1:05AM","2022-02-20 7:28AM","353","29","19","382","75","173","105"
"2022-02-19 3:15AM","2022-02-19 9:51AM","335","61","28","396","73","179","83"
"2022-02-17 11:44PM","2022-02-18 8:04AM","457","43","38","500","128","227","102"
"2022-02-17 1:11AM","2022-02-17 7:34AM","336","46","26","382","74","169","93"
"2022-02-16 1:06AM","2022-02-16 7:12AM","323","43","25","366","68","182","73"
"2022-02-15 1:10AM","2022-02-15 6:51AM","304","37","25","341","66","153","85"
"2022-02-13 11:55PM","2022-02-14 7:13AM","390","48","30","438","83","205","102"
"2022-02-13 12:57AM","2022-02-13 7:33AM","354","42","26","396","85","205","64"
"2022-02-12 12:14AM","2022-02-12 7:37AM","375","68","32","443","70","246","59"
"2022-02-11 1:11AM","2022-02-11 7:12AM","315","46","22","361","73","182","60"
"2022-02-10 12:18AM","2022-02-10 7:22AM","383","41","31","424","75","244","64"
"2022-02-09 12:16AM","2022-02-09 7:00AM","358","46","29","404","61","240","57"
"2022-02-08 1:17AM","2022-02-08 6:54AM","297","40","19","337","52","160","85"
"2022-02-07 12:14AM","2022-02-07 6:54AM","350","50","28","400","96","177","77"
"2022-02-05 11:28PM","2022-02-06 6:38AM","366","64","33","430","75","183","108"
"2022-02-02 11:13PM","2022-02-03 6:42AM","395","54","32","449","75","235","85"

